Code	Strata	Date	Area	Trap	Temperature	Samp.day
C1NF2_42759	Canopy	01/24/17	NF2	Can1	24.7	3
C2NF2_42759	Canopy	01/24/17	NF2	Can2	24.2	3
C3NF2_42759	Canopy	01/24/17	NF2	Can3	24.0	3
C4NF2_42759	Canopy	01/24/17	NF2	Can4	25.1	3
C5NF2_42759	Canopy	01/24/17	NF2	Can5	25.7	3
C1NF3_42759	Canopy	01/24/17	NF3	Can1	30.0	3
C2NF3_42759	Canopy	01/24/17	NF3	Can2	31.8	3
C3NF3_42759	Canopy	01/24/17	NF3	Can3	23.0	3
C4NF3_42759	Canopy	01/24/17	NF3	Can4	32.5	3
C5NF3_42759	Canopy	01/24/17	NF3	Can5	29.5	3
U1NF1_42759	Understory	01/24/17	NF1	Und1	17.2	3
U2NF1_42759	Understory	01/24/17	NF1	Und2	17.2	3
U3NF1_42759	Understory	01/24/17	NF1	Und3	17.7	3
U4NF1_42759	Understory	01/24/17	NF1	Und4	18.9	3
U5NF1_42759	Understory	01/24/17	NF1	Und5	18.5	3
U1NF2_42759	Understory	01/24/17	NF2	Und1	20.4	3
U2NF2_42759	Understory	01/24/17	NF2	Und2	21.6	3
U3NF2_42759	Understory	01/24/17	NF2	Und3	23.3	3
U4NF2_42759	Understory	01/24/17	NF2	Und4	22.6	3
U5NF2_42759	Understory	01/24/17	NF2	Und5	22.8	3
U1NF3_42759	Understory	01/24/17	NF3	Und1	23.7	3
U2NF3_42759	Understory	01/24/17	NF3	Und2	22.3	3
U3NF3_42759	Understory	01/24/17	NF3	Und3	21.5	3
U4NF3_42759	Understory	01/24/17	NF3	Und4	22.6	3
U5NF3_42759	Understory	01/24/17	NF3	Und5	26.5	3
C1NF4_42760	Canopy	01/25/17	NF4	Can1	24.9	4
C2NF4_42760	Canopy	01/25/17	NF4	Can2	25.9	4
C3NF4_42760	Canopy	01/25/17	NF4	Can3	25.0	4
C4NF4_42760	Canopy	01/25/17	NF4	Can4	24.9	4
C5NF4_42760	Canopy	01/25/17	NF4	Can5	27.5	4
C1NF5_42760	Canopy	01/25/17	NF5	Can1	25.4	4
C2NF5_42760	Canopy	01/25/17	NF5	Can2	25.0	4
C3NF5_42760	Canopy	01/25/17	NF5	Can3	26.0	4
C4NF5_42760	Canopy	01/25/17	NF5	Can4	25.7	4
C5NF5_42760	Canopy	01/25/17	NF5	Can5	24.3	4
C1NF6_42760	Canopy	01/25/17	NF6	Can1	22.2	4
C2NF6_42760	Canopy	01/25/17	NF6	Can2	22.7	4
C3NF6_42760	Canopy	01/25/17	NF6	Can3	21.4	4
C4NF6_42760	Canopy	01/25/17	NF6	Can4	20.4	4
C5NF6_42760	Canopy	01/25/17	NF6	Can5	22.2	4
U1NF4_42760	Understory	01/25/17	NF4	Und1	21.9	4
U2NF4_42760	Understory	01/25/17	NF4	Und2	22.8	4
U3NF4_42760	Understory	01/25/17	NF4	Und3	21.6	4
U4NF4_42760	Understory	01/25/17	NF4	Und4	21.8	4
U5NF4_42760	Understory	01/25/17	NF4	Und5	23.3	4
U1NF5_42760	Understory	01/25/17	NF5	Und1	20.9	4
U2NF5_42760	Understory	01/25/17	NF5	Und2	21.2	4
U3NF5_42760	Understory	01/25/17	NF5	Und3	21.4	4
U4NF5_42760	Understory	01/25/17	NF5	Und4	22.4	4
U5NF5_42760	Understory	01/25/17	NF5	Und5	21.7	4
U1NF6_42760	Understory	01/25/17	NF6	Und1	19.4	4
U2NF6_42760	Understory	01/25/17	NF6	Und2	19.8	4
U3NF6_42760	Understory	01/25/17	NF6	Und3	20.3	4
U4NF6_42760	Understory	01/25/17	NF6	Und4	19.5	4
U5NF6_42760	Understory	01/25/17	NF6	Und5	18.8	4
C1NF1_42761	Canopy	01/26/17	NF1	Can1	16.1	4
C2NF1_42761	Canopy	01/26/17	NF1	Can2	16.7	4
C3NF1_42761	Canopy	01/26/17	NF1	Can3	16.7	4
C4NF1_42761	Canopy	01/26/17	NF1	Can4	22.5	4
C5NF1_42761	Canopy	01/26/17	NF1	Can5	18.4	4
C1NF2_42761	Canopy	01/26/17	NF2	Can1	21.0	4
C2NF2_42761	Canopy	01/26/17	NF2	Can2	19.5	4
C3NF2_42761	Canopy	01/26/17	NF2	Can3	20.7	4
C4NF2_42761	Canopy	01/26/17	NF2	Can4	23.3	4
C5NF2_42761	Canopy	01/26/17	NF2	Can5	21.5	4
C1NF3_42761	Canopy	01/26/17	NF3	Can1	25.3	4
C2NF3_42761	Canopy	01/26/17	NF3	Can2	28.5	4
C3NF3_42761	Canopy	01/26/17	NF3	Can3	20.0	4
C4NF3_42761	Canopy	01/26/17	NF3	Can4	24.5	4
C5NF3_42761	Canopy	01/26/17	NF3	Can5	29.6	4
U1NF1_42761	Understory	01/26/17	NF1	Und1	15.3	4
U2NF1_42761	Understory	01/26/17	NF1	Und2	16.7	4
U3NF1_42761	Understory	01/26/17	NF1	Und3	16.9	4
U4NF1_42761	Understory	01/26/17	NF1	Und4	17.8	4
U5NF1_42761	Understory	01/26/17	NF1	Und5	17.6	4
U1NF2_42761	Understory	01/26/17	NF2	Und1	18.7	4
U2NF2_42761	Understory	01/26/17	NF2	Und2	18.8	4
U3NF2_42761	Understory	01/26/17	NF2	Und3	18.7	4
U4NF2_42761	Understory	01/26/17	NF2	Und4	19.5	4
U5NF2_42761	Understory	01/26/17	NF2	Und5	19.1	4
U1NF3_42761	Understory	01/26/17	NF3	Und1	21.2	4
U2NF3_42761	Understory	01/26/17	NF3	Und2	20.4	4
U3NF3_42761	Understory	01/26/17	NF3	Und3	20.5	4
U4NF3_42761	Understory	01/26/17	NF3	Und4	20.4	4
U5NF3_42761	Understory	01/26/17	NF3	Und5	22.6	4
C1NF4_42762	Canopy	01/27/17	NF4	Can1	21.5	5
C2NF4_42762	Canopy	01/27/17	NF4	Can2	24.7	5
C3NF4_42762	Canopy	01/27/17	NF4	Can3	29.4	5
C4NF4_42762	Canopy	01/27/17	NF4	Can4	27.3	5
C5NF4_42762	Canopy	01/27/17	NF4	Can5	21.5	5
C1NF5_42762	Canopy	01/27/17	NF5	Can1	27.0	5
C2NF5_42762	Canopy	01/27/17	NF5	Can2	24.4	5
C3NF5_42762	Canopy	01/27/17	NF5	Can3	20.8	5
C4NF5_42762	Canopy	01/27/17	NF5	Can4	21.3	5
