"Code" "Subfamily" "Tribe" "Genus" "Species" "Abundance" "Strata" "Date" "SU" "Trap" "Temperature" "Samp.day" "Month" "Sites"
"35" "C1NF3_42785" "Satyrinae" "Satyrini" "Praepedaliodes" "Praepedaliodes_phanias" 1 "Canopy" 2017-02-19 "NF3" "Can1" 26.3 1 "February" "C1NF3F"
"36" "C1NF3_42787" "Charaxinae" "Preponini" "Prepona" "Prepona_pylene" 1 "Canopy" 2017-02-21 "NF3" "Can1" 30 2 "February" "C1NF3F"
"37" "C1NF3_42787" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_necys" 1 "Canopy" 2017-02-21 "NF3" "Can1" 30 2 "February" "C1NF3F"
"38" "C1NF3_42787" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_necys" 1 "Canopy" 2017-02-21 "NF3" "Can1" 30 2 "February" "C1NF3F"
"39" "C1NF3_42787" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_pronophila" 1 "Canopy" 2017-02-21 "NF3" "Can1" 30 2 "February" "C1NF3F"
"40" "C1NF3_42789" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2017-02-23 "NF3" "Can1" 20.2 3 "February" "C1NF3F"
"41" "C1NF3_42817" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_amphimachus" 1 "Canopy" 2017-03-23 "NF3" "Can1" 18 3 "March" "C1NF3M"
"42" "C1NF3_42817" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-23 "NF3" "Can1" 18 3 "March" "C1NF3M"
"43" "C1NF3_42817" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_pronophila" 1 "Canopy" 2017-03-23 "NF3" "Can1" 18 3 "March" "C1NF3M"
"44" "C1NF3_42817" "Satyrinae" "Satyrini" "Praepedaliodes" "Praepedaliodes_phanias" 1 "Canopy" 2017-03-23 "NF3" "Can1" 18 3 "March" "C1NF3M"
"45" "C1NF4_42716" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_amphimachus" 1 "Canopy" 2016-12-12 "NF4" "Can1" 28.1 2 "December" "C1NF4D"
"46" "C1NF4_42718" "Satyrinae" "Satyrini" "Euptychoides" "Euptychoides_castrensis" 1 "Canopy" 2016-12-14 "NF4" "Can1" 24.2 3 "December" "C1NF4D"
"47" "C1NF4_42720" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_amphimachus" 1 "Canopy" 2016-12-16 "NF4" "Can1" 23.4 4 "December" "C1NF4D"
"48" "C1NF4_42756" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-21 "NF4" "Can1" 28.7 2 "January" "C1NF4J"
"49" "C1NF4_42790" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2017-02-24 "NF4" "Can1" 24.6 4 "February" "C1NF4F"
"50" "C1NF5_42718" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-14 "NF5" "Can1" 25.2 3 "December" "C1NF5D"
"51" "C1NF5_42718" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-14 "NF5" "Can1" 25.2 3 "December" "C1NF5D"
"52" "C1NF5_42786" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_chalciope" 1 "Canopy" 2017-02-20 "NF5" "Can1" 30.8 2 "February" "C1NF5F"
"53" "C1NF5_42816" "Biblidinae" "Epiphilini" "Epiphile" "Epiphile_hubneri" 1 "Canopy" 2017-03-22 "NF5" "Can1" 25 2 "March" "C1NF5M"
"54" "C1NF6_42675" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_chalciope" 1 "Canopy" 2016-11-01 "NF6" "Can1" 23.6 1 "November" "C1NF6N"
"55" "C1NF6_42675" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_amphimachus" 1 "Canopy" 2016-11-01 "NF6" "Can1" 23.6 1 "November" "C1NF6N"
"56" "C1NF6_42716" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-12 "NF6" "Can1" 29 2 "December" "C1NF6D"
"57" "C1NF6_42716" "Satyrinae" "Satyrini" "Hermeuptychia" "Hermeuptychia_sp" 1 "Canopy" 2016-12-12 "NF6" "Can1" 29 2 "December" "C1NF6D"
"58" "C1NF6_42718" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-14 "NF6" "Can1" 19.2 3 "December" "C1NF6D"
"59" "C1NF6_42718" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-14 "NF6" "Can1" 19.2 3 "December" "C1NF6D"
"60" "C1NF6_42760" "Satyrinae" "Satyrini" "Praepedaliodes" "Praepedaliodes_phanias" 1 "Canopy" 2017-01-25 "NF6" "Can1" 22.2 4 "January" "C1NF6J"
"61" "C1NF6_42786" "Satyrinae" "Satyrini" "Eteona" "Eteona_tisiphone" 1 "Canopy" 2017-02-20 "NF6" "Can1" 27.3 2 "February" "C1NF6F"
"62" "C1NF6_42786" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_necys" 1 "Canopy" 2017-02-20 "NF6" "Can1" 27.3 2 "February" "C1NF6F"
"63" "C1NF6_42788" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_necys" 1 "Canopy" 2017-02-22 "NF6" "Can1" 26.8 3 "February" "C1NF6F"
